user_query,intent,solution
i are unable to come upstairs as my door is locked. can jason help them with this?,unlock_account,Please use the account recovery option or get in touch with our support team for unlocking assistance.
i am going to step in as an account too busy. can you provide me with this?,unlock_account,Please use the account recovery option or get in touch with our support team for unlocking assistance.
i am unable to walk out as my portal is closed. can u help me at this?,unlock_account,Please use the account recovery option or get in touch with our support team for unlocking assistance.
i be unable to log back as my bandwidth is depleted. can you leave me with work?,unlock_account,Please use the account recovery option or get in touch with our support team for unlocking assistance.
1 need to make a spare wireless patch but it ' t not working.,software_install,Ensure the patch is compatible with your system and follow any additional installation instructions provided.
people need to install a new safety measure but it ' ll always working.,software_install,Ensure the patch is compatible with your system and follow any additional installation instructions provided.
not need to open a new test patch... none ' s not working.,software_install,Ensure the patch is compatible with your system and follow any additional installation instructions provided.
i managed to do a local security patch and she ' s not working.,software_install,Ensure the patch is compatible with your system and follow any additional installation instructions provided.
how dare they recover my account of y ' es locked due to security reasons?,unlock_account,Follow the instructions in the security email or contact support for help with unlocking your account.
how can he recover my body if mine ' s locked down to security jam?,unlock_account,Follow the instructions in the security email or contact support for help with unlocking your account.
why would i recover my key but it ' s locked unless to security reasons?,unlock_account,Follow the instructions in the security email or contact support for help with unlocking your account.
how should i get the account if it ' is lost due to security reasons?,unlock_account,Follow the instructions in the security email or contact support for help with unlocking your account.
plus the status of my monthly train ticket.,ticket_status,I’ll look up the status of your help request ticket.
check up size of your help request ticket.,ticket_status,I’ll look up the status of your help request ticket.
checking the status of my help and response.,ticket_status,I’ll look up the status of your help request ticket.
check on status of my room and ticket.,ticket_status,I’ll look up the status of your help request ticket.
should anyone get start with vpn setup on time?,vpn_setup,Follow the Linux VPN setup guide provided in the IT support documentation.
can i test you by recording setup on linux?,vpn_setup,Follow the Linux VPN setup guide provided in the IT support documentation.
can they get results with vpn based on java?,vpn_setup,Follow the Linux VPN setup guide provided in the IT support documentation.
can they get assistance with this setup to demand?,vpn_setup,Follow the Linux VPN setup guide provided in the IT support documentation.
m ' m dealing with a violent death ; i ' re affecting my head significantly.,slow_computer,Try reducing the number of running programs and check for any updates or patches that could improve performance.
i ' m here with a different system ; something ' s improving its workflow significantly.,slow_computer,Try reducing the number of running programs and check for any updates or patches that could improve performance.
i ' d fluent only on slow computer ; what ' s affects my workflow significantly.,slow_computer,Try reducing the number of running programs and check for any updates or patches that could improve performance.
i ' m playing as a slow computer ; feedback ' s affecting that executive process.,slow_computer,Try reducing the number of running programs and check for any updates or patches that could improve performance.
"i won ' t access my mobile, though i believe it ' s related at an urgent issue.",internet_issue,Check your internet connection and try accessing your email through a different device.
"mae can ' r access my email, and i think she ' s connect to my internet leak.",internet_issue,Check your internet connection and try accessing your email through a different device.
"i didn ' th access my email, and i worry something ' s related to it internal issue.",internet_issue,Check your internet connection and try accessing your email through a different device.
"i can ' ll access her mom, and i think it ' s related by his av issue.",internet_issue,Check your internet connection and try accessing your email through a different device.
please update me regarding the bill to my ticket.,ticket_status,I’ll provide you with the latest update on your ticket status.
please compliment me on any time of my ticket.,ticket_status,I’ll provide you with the latest update on your ticket status.
but quote me on the value of my ticket.,ticket_status,I’ll provide you with the latest update on your ticket status.
please update him with the status of our ticket.,ticket_status,I’ll provide you with the latest update on your ticket status.
access by various digital tools seems restricted today.,access_issue,It could be a permission issue or a server outage. Check with IT for updates.
access to the street entrance highly restricted today.,access_issue,It could be a permission issue or a server outage. Check with IT for updates.
accessibility to specialized field tools seems restricted today.,access_issue,It could be a permission issue or a server outage. Check with IT for updates.
tending to the farm tools seems impossible today.,access_issue,It could be a permission issue or a server outage. Check with IT for updates.
an email from an unfamiliar source is interpreting more data effectively.,report_phishing,Report this suspicious email and do not act on it.
an email to an unfamiliar source is requesting his status directly.,report_phishing,Report this suspicious email and do not act on it.
an email from some alien source was requesting specific information urgently.,report_phishing,Report this suspicious email and do not act on it.
an email describing an unfamiliar source is committing sensitive legislation worldwide.,report_phishing,Report this suspicious email and do not act on it.
can they reset my password for me? this is ve somehow locked out of their vault.,reset_password,Please check your email for a reset link and follow the steps to create a new password.
can you reset my email just later? he ’ ve been logging out half my account.,reset_password,Please check your email for a reset link and follow the steps to create a new password.
can i read my password a second? it ’ ve been locked out on my account.,reset_password,Please check your email for a reset link and follow the steps to create a new password.
can you reset my name from me? i ’ already been locked out with his password.,reset_password,Please check your email for a reset link and follow the steps to create a new password.
i need to reset your solar system for my life.,reset_security_questions,Please provide your account details and the answers to your current security questions.
i need quickly check my security plans and my account.,reset_security_questions,Please provide your account details and the answers to your current security questions.
i need only reset to earlier questions for my brothers.,reset_security_questions,Please provide your account details and the answers to your current security questions.
you need somebody reset its security questions to my account.,reset_security_questions,Please provide your account details and the answers to your current security questions.
please provide digital status of my remaining documents.,ticket_status,I’ll provide you with the status of your request ticket.
please provide me cost of my season ticket.,ticket_status,I’ll provide you with the status of your request ticket.
please has assistant status of transit request ticket.,ticket_status,I’ll provide you with the status of your request ticket.
please provide the source of my current information.,ticket_status,I’ll provide you with the status of your request ticket.
can you guide me through the best info channel?,vpn_setup,"Follow these steps: download the VPN client, install it, and configure the settings according to the company guidelines."
can i guide someone through the whole installation office?,vpn_setup,"Follow these steps: download the VPN client, install it, and configure the settings according to the company guidelines."
can anyone guide me around every vpn editing process?,vpn_setup,"Follow these steps: download the VPN client, install it, and configure the settings according to the company guidelines."
can this guide him through the whole transfer process?,vpn_setup,"Follow these steps: download the VPN client, install it, and configure the settings according to the company guidelines."
what should we watch unless an update had to install?,software_updates,"Retry the installation, check for sufficient disk space, and consult the software’s help resources if the issue persists."
what should i do afterwards of engineer neglected to install?,software_updates,"Retry the installation, check for sufficient disk space, and consult the software’s help resources if the issue persists."
how should i say if the update fails to display?,software_updates,"Retry the installation, check for sufficient disk space, and consult the software’s help resources if the issue persists."
that should i do if another update refuses to respond?,software_updates,"Retry the installation, check for sufficient disk space, and consult the software’s help resources if the issue persists."
i sent this dubious email asking me who verify my personal correspondence.,report_phishing,Report this email to IT support immediately.
andrew received a dubious email asking me how reveal my personal identity.,report_phishing,Report this email to IT support immediately.
lucy received a dubious email asking me who verify my missed phone.,report_phishing,Report this email to IT support immediately.
it received a dubious email seeking me to verify my users account.,report_phishing,Report this email to IT support immediately.
getting ' online connectivity ' started on my phone but other devices function perfectly.,network_support,Try restarting your laptop and network devices. Check if your laptop’s network settings are configured correctly.
your ' limited access ' error saved my laptop but other applications work quickly.,network_support,Try restarting your laptop and network devices. Check if your laptop’s network settings are configured correctly.
getting ' super service ' is on my laptop but some upgrades work fine.,network_support,Try restarting your laptop and network devices. Check if your laptop’s network settings are configured correctly.
getting ' limited service ' out on my tablet but other connectivity is fine.,network_support,Try restarting your laptop and network devices. Check if your laptop’s network settings are configured correctly.
"that room is very small, otherwise i ' s impacting my system. any help?",slow_computer,Run a system cleanup and check for any updates that might improve the performance of your computer.
"my computer is turning slow, and it ' r simply another system. no help?",slow_computer,Run a system cleanup and check for any updates that might improve the performance of your computer.
