user_query,intent,solution
"My password is not working, can you help me reset it?",reset_password,Please follow the steps in the password reset link sent to your email.
I can't log in. I think I forgot my password. Can you help me reset it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I can't access my account because my password seems incorrect.,reset_password,Try resetting your password using the 'Forgot Password' option on the login page.
Can you reset my password for me? My account has been blocked.,reset_password,Please check your email for a reset link and follow the steps to create a new password.
I don't remember my password and need to reset it.,reset_password,A reset link has been sent to your email. Use it to reset your password.
My password has expired and I can't log in anymore. Can you guide me?,reset_password,Please follow the password reset link sent to your email to update your password.
"I need to change my password, but I don't remember the old one.",reset_password,A reset link has been sent to your email to create a new password.
"I tried to reset my password, but the link doesn't work.",reset_password,Please request a new reset link and ensure it’s used within the validity period.
"Can you help me reset my password? I tried, but it doesn't work.",reset_password,"Please use the reset link in your email. If it doesn’t work, request a new one."
How do I reset my password if I forgot it?,reset_password,Use the 'Forgot Password' option on the login page to get a reset link.
My password reset link has expired. Can I get a new one?,reset_password,A new reset link has been sent to your email. Please follow the steps promptly.
I don't remember my current password and can't log in anymore.,reset_password,Follow the password reset instructions sent to your email to regain access.
I no longer have access to my account and need help resetting my password.,reset_password,Check your email for the reset link and follow the steps to create a new password.
I forgot my password and I can't reset it using the usual method.,reset_password,A reset link has been sent to your email. Please follow the instructions.
My account is locked because I entered the wrong password several times. Can I reset it?,reset_password,A reset link has been sent to your email. Use it to unlock your account.
What is the fastest way to reset my password?,reset_password,Use the 'Forgot Password' option on the login page to receive a reset link via email.
How long does the password reset process take?,reset_password,The reset link will arrive in your email within minutes. Follow the instructions to reset.
I can't log in to my account because my password doesn't work.,reset_password,Request a password reset from the login page. Check your email for the reset link.
My password reset email hasn't arrived yet. Can you resend it to me?,reset_password,The reset email has been resent. Please check your inbox or spam folder.
"I need to reset my password, but I don't have access to my email.",reset_password,You will need access to your email to reset your password. Contact IT for further assistance.
My password reset request is not working. Can you help me?,reset_password,Request a new reset link from the login page and check your inbox for the email.
How can I change my password without knowing the current password?,reset_password,Use the 'Forgot Password' option to reset your password without the current one.
My password suddenly stopped working. How can I fix this?,reset_password,You may need to reset your password. Please follow the reset link sent to your email.
