user_query,intent,solution
My password isn't working; can you assist me in resetting it?,reset_password,Please follow the steps in the password reset link sent to your email.
I’m having trouble with my password; could you help me reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
Can you help me reset my password?,reset_password,Please follow the steps in the password reset link sent to your email.
It seems my password isn’t functioning; how can I reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
My password has stopped working; can you guide me through the reset process?,reset_password,Please follow the steps in the password reset link sent to your email.
I'm having trouble with my password; could you assist me in resetting it?,reset_password,Please follow the steps in the password reset link sent to your email.
My password seems to be invalid; can you help me reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
I can't log in due to a password issue; can you guide me through the reset process?,reset_password,Please follow the steps in the password reset link sent to your email.
I need help with my password not working; could you help me change it?,reset_password,Please follow the steps in the password reset link sent to your email.
My password isn't allowing me access; can you assist me with a reset?,reset_password,Please follow the steps in the password reset link sent to your email.
My password isn’t functioning; could you assist me in resetting it?,reset_password,Please follow the steps in the password reset link sent to your email.
I can’t access my account because my password isn’t accepted; how can I reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
I’m having trouble with my password; can you guide me through the reset process?,reset_password,Please follow the steps in the password reset link sent to your email.
My password seems to be incorrect; what steps do I need to take to reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
I need help resetting my password as it doesn’t seem to work.?,reset_password,Please follow the steps in the password reset link sent to your email.
My password isn’t functioning; could you assist me in resetting it?,reset_password,Please follow the steps in the password reset link sent to your email.
I’m having trouble with my password; can you guide me on how to reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
Can you help me restore access?,reset_password,Please follow the steps in the password reset link sent to your email.
My password isn't working—what steps do I need to take to reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
I’m unable to log in due to a password issue; how can I reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
My password isn't working; could you assist me in resetting it?,reset_password,Please follow the steps in the password reset link sent to your email.
Can you help me reset my password since it's not working?,reset_password,Please follow the steps in the password reset link sent to your email.
I need help resetting my password because it's not functioning. My password seems to be incorrect; can you guide me on how to reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
I'm having trouble with my password; can you help me reset it?,reset_password,Please follow the steps in the password reset link sent to your email.
I'm having trouble logging in and believe I've forgotten my password. Can you help me reset it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
What steps do I need to take to reset my password since I can't log in?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I think I've forgotten my password and need assistance with login issues. Can you guide me through the password reset process?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I'm unable to access my account because I think my password is incorrect. How can I reset it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I’m unable to log in and suspect I’ve forgotten my password. Can you help me reset it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I think I've forgotten my password and can’t access my account. Could you assist me with resetting it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I'm having trouble logging in and believe I’ve forgotten my password. Can you help me reset it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
Could you please help me reset my password?,reset_password,A password reset link has been sent to your email. Follow the instructions.
"I think I forgot it and can't log in.  
I can’t access my account because I think I forgot my password. Can you help me reset it?",reset_password,A password reset link has been sent to your email. Follow the instructions.
I'm having trouble logging in and might have forgotten my password. Could you help me reset it?,reset_password,A password reset link has been sent to your email. Follow the instructions.
I can't access my account; is there a way to reset my password?,reset_password,A password reset link has been sent to your email. Follow the instructions.
It seems I've forgotten my password and can't log in. Can you assist me with a reset?,reset_password,A password reset link has been sent to your email. Follow the instructions.
"I'm unable to log in, possibly due to a forgotten password. Can you help me reset it?",reset_password,A password reset link has been sent to your email. Follow the instructions.
